"A.alpina_cv.Pajares" "A.arabicum" "A.lyrata_cv.MN47" "A.thaliana" "B.carinata_cv.zd-1" "B.juncea_cv.AU213" "B.juncea_cv.T84-66" "B.napus_cv.ZS11" "B.nigra_cv.NI100" "B.nigra_cv.Sangam" "B.oleracea_cv.HDEM" "B.oleracea_cv.JZS" "B.rapa_cv.Chiifu" "B.rapa_cv.FPsc" "B.retrofracta" "B.stricta" "C.grandiflora" "C.hirsuta" "C.rubella_cv.MonteGargano" "C.sativa_cv.DH55" "E.salsugineum" "R.raphanistrum_ssp.landra" "R.raphanistrum_ssp.raphanistrum" "R.sativus_cv.XYB36-2" "S.parvula" "V.vinifera_cv.PN40024"
"LBD" 22 34 43 43 139 145 144 146 70 65 75 75 66 73 47 45 40 37 46 129 58 51 48 69 38 44
"LFY" 1 1 1 1 4 4 4 4 2 2 2 2 2 2 1 1 1 1 1 3 1 2 2 2 1 1
"LSD" 1 4 3 3 11 11 11 12 5 4 7 7 5 5 3 3 3 3 3 9 4 6 6 5 4 3
"M-type" 20 47 39 67 138 163 161 160 101 79 89 85 75 71 59 55 34 68 82 266 84 28 27 107 50 18
"MIKC" 26 26 40 42 150 184 184 167 81 80 83 84 71 85 36 37 39 35 39 104 36 81 83 78 41 36
"MYB" 94 123 142 143 433 511 514 485 260 248 266 263 247 249 146 141 136 136 152 396 135 241 237 241 133 138
"MYB-related" 53 61 66 62 221 235 232 254 119 116 112 117 110 120 64 64 73 73 65 225 60 108 111 110 66 57
"NAC" 82 87 123 114 384 453 450 426 224 213 217 226 214 194 128 122 104 106 114 341 117 191 192 201 91 71
"NF-X1" 1 2 3 2 5 7 7 10 3 3 4 4 4 4 3 3 3 3 3 6 3 3 2 3 2 3
"NF-YA" 2 7 12 10 41 37 35 36 20 19 19 21 19 18 9 9 9 10 9 30 9 20 21 17 10 7
"NF-YB" 6 13 16 13 58 52 55 48 28 27 25 28 22 25 13 13 13 14 13 43 13 19 13 19 14 17
"NF-YC" 10 8 15 14 25 28 27 26 13 15 15 15 13 13 14 15 11 13 14 34 13 9 10 12 12 8
"Nin-like" 7 14 17 15 49 57 53 57 26 27 27 26 28 24 14 15 16 17 16 52 16 26 26 25 14 8
"NZZ/SPL" 1 1 1 1 4 6 4 4 2 2 2 2 2 2 1 1 1 1 1 3 1 2 2 2 1 1
"RAV" 6 5 6 6 29 28 28 23 12 13 14 14 14 14 6 6 3 6 5 23 8 3 1 12 6 1
"S1Fa-like" 3 3 3 3 5 11 11 12 5 4 5 3 4 6 3 3 3 3 3 7 3 5 5 5 3 2
"SAP" 1 1 1 1 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 3 1 2 1 2 1 1
"SBP" 12 15 16 17 57 61 59 61 31 30 34 33 29 28 17 17 14 16 16 51 16 31 30 28 13 19
"SRS" 6 12 10 11 32 35 35 38 18 17 20 21 17 17 10 9 10 9 9 28 9 17 15 18 10 5
"STAT" 1 2 3 2 2 2 2 2 1 1 1 1 NA 1 2 2 2 2 2 6 2 1 1 1 2 1
"TALE" 12 17 21 21 66 73 70 70 37 37 37 38 34 34 21 21 20 20 21 56 20 37 36 29 21 21
"TCP" 12 23 25 24 79 78 79 81 39 39 39 42 39 36 25 24 24 24 23 74 24 16 14 34 23 15
"Trihelix" 31 29 31 29 99 103 101 108 51 50 56 55 55 51 31 31 28 30 31 93 26 39 39 46 30 26
"VOZ" NA 2 3 2 6 8 8 8 4 4 4 4 4 4 2 1 2 2 2 6 2 4 3 4 2 2
"Whirly" 3 2 4 3 6 8 8 8 5 4 3 4 3 3 3 3 3 3 3 9 2 5 3 3 3 2
"WOX" 11 12 16 16 54 60 59 56 32 28 29 31 28 27 20 16 15 16 15 44 16 28 28 26 14 11
"WRKY" 58 76 79 72 281 302 298 295 163 143 143 153 148 141 75 76 69 71 72 212 66 153 149 141 69 59
"YABBY" 5 6 6 6 16 23 22 22 12 12 11 11 10 11 6 6 6 6 6 18 6 11 10 11 7 7
"ZF-HD" 9 16 18 17 64 64 64 62 33 33 30 34 30 31 18 18 15 16 18 56 16 2 2 27 17 10
